"","block","streetName","streetType","stretTypeNum","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","flushOilNum","class","classnum","pavement","streetID","NumofYrs","predict"
"2922",300,"CRADDOCK","ST",3,"",7,4,4,300,25,"4/15/2016",2004,"F",3,"Local",1,"6",12572042,"12",7
"2923",300,"CRAIG","ST",3,"",8,4,5,380,27,"4/15/2016",2006,"O",2,"Local",1,"3",12580215,"10",8
"2924",300,"CRAWFORD","AVE",6,"",5,2,3,491,28,"6/15/2016",1985,"F",3,"Local",1,"6",13013241,"31",4
"2925",300,"CRAWFORD","AVE",6,"",5,2,3,491,28,"6/15/2016",1985,"F",3,"Local",1,"6",12578556,"31",4
"2926",300,"CROSSETT","ST",3,"",7,4,2,343,25,"3/14/2016",2001,"F",3,"Local",1,"6",12572954,"15",6
"2927",300,"CROUSE","AVE",6,"N",3,2,3,323,32,"4/14/2016",1985,"F",3,"Local",1,"6",12578080,"31",4
"2928",300,"CROUSE","AVE",6,"S",7,4,4,628,36,"4/14/2016",2004,"F",3,"Local",1,"6",12577819,"12",7
"2929",300,"CULVER","DR",4,"",7,3,5,290,23,"4/15/2016",2002,"O",2,"Local",1,"3",12581177,"14",7
"2930",300,"CURTIS","ST",3,"",8,3,4,335,27,"4/15/2016",2002,"O",2,"Local",1,"3",12580185,"14",6
"2931",300,"DAKIN","ST",3,"",5,3,4,285,27,"6/15/2016",1989,"O",2,"Local",1,"3",12578792,"27",6
"2932",300,"DAKOTA","ST",3,"",6,3,4,320,32,"5/14/2016",1985,"O",2,"Local",1,"3",12578423,"31",6
"2933",300,"DAKOTA","ST",3,"",6,3,4,320,32,"5/14/2016",1985,"O",2,"Local",1,"3",12578417,"31",6
"2934",300,"DANFORTH","ST",3,"",4,2,3,204,30,"4/14/2016",1985,"F",3,"Local",1,"6",12575275,"31",4
"2935",300,"DANFORTH","ST",3,"",4,2,3,204,30,"4/14/2016",1985,"F",3,"Local",1,"6",12575152,"31",4
"2936",300,"DARLINGTON","RD",5,"",6,3,4,500,NA,"4/14/2016",1985,"O",2,"Local",1,"3",12580653,"31",6
"2937",300,"DARLINGTON","RD",5,"",6,3,4,500,NA,"4/14/2016",1985,"O",2,"Local",1,"3",12580650,"31",6
"2938",300,"DEFOREST","RD",5,"",5,2,3,870,28,"5/14/2016",1999,"O",2,"Local",1,"3",12578906,"17",5
"2939",300,"DELAWARE","ST",3,"",6,4,3,350,35,"4/14/2016",1999,"F",3,"Local",1,"6",12573254,"17",6
"2940",300,"DEWITT","ST",3,"",7,2,4,384,27,"4/14/2016",2009,"F",3,"Local",1,"6",12580349,"7",6
"2941",300,"DIVISION","ST",3,"E",5,3,2,380,33,"4/14/2016",1985,"F",3,"Local",1,"6",12575128,"31",5
"2942",300,"DIVISION","ST",3,"E",5,3,2,380,33,"4/14/2016",1985,"F",3,"Local",1,"6",12575127,"31",5
"2943",300,"DORWIN","AVE",6,"",5,3,2,1415,27,"4/15/2016",1985,"O",2,"Local",1,"4",12563572,"31",5
"2944",300,"DORWIN","AVE",6,"",5,3,2,1415,27,"4/15/2016",1985,"O",2,"Local",1,"4",13002107,"31",5
"2945",300,"DORWIN","AVE",6,"",5,3,2,1415,27,"4/15/2016",1985,"O",2,"Local",1,"4",13009803,"31",5
"2946",300,"DORWIN","AVE",6,"",5,3,2,1415,27,"4/15/2016",1985,"O",2,"Local",1,"4",13019515,"31",5
"2947",300,"DOUGLAS","ST",3,"",7,4,4,730,27,"4/14/2016",2001,"F",3,"Local",1,"6",12580086,"15",7
"2948",300,"DRISCOLL","AVE",6,"",7,4,4,564,NA,"6/14/2016",1999,"O",2,"Local",1,"3",13017594,"17",7
"2949",300,"DUANE","ST",3,"",6,3,3,303,NA,"4/14/2016",1999,"O",2,"Local",1,"3",12572921,"17",6
"2950",300,"DUDLEY","ST",3,"",7,3,3,168,34,"4/14/2016",1985,"F",3,"Local",1,"6",12573077,"31",5
"2951",300,"DURSTON","AVE",6,"",8,4,5,387,25,"5/15/2016",2006,"F",3,"Local",1,"6",12580504,"10",8
"2952",300,"EDGEWOOD","AVE",6,"",4,2,3,293,26,"6/14/2016",1985,"O",2,"Local",1,"3",12571915,"31",5
"2953",300,"EDWARDS","AVE",6,"N",4,2,3,1177,29,"5/15/2016",1985,"O",2,"Local",1,"3",12581422,"31",5
"2954",300,"EDWARDS","AVE",6,"S",6,3,3,720,24,"4/14/2016",1985,"O",2,"Local",1,"3",12580985,"31",6
"2955",300,"ELLIS","ST",3,"",7,4,3,278,28,"5/14/2016",2003,"F",3,"Local",1,"6",12578720,"13",7
"2956",300,"ELM","ST",3,"",7,4,3,1160,35,"9/14/2016",2012,"F",3,"Local",1,"6",12578292,"4",7
"2957",300,"EMERSON","AVE",6,"",7,4,4,343,36,"6/14/2016",2005,"O",2,"Local",1,"3",12572826,"11",7
"2958",300,"ENGLEWOOD","AVE",6,"",6,3,4,335,27,"6/14/2016",1985,"O",2,"Local",1,"3",12571736,"31",6
"2959",300,"ERIE","BLVD",10,"E",5,3,2,564,56,"4/14/2016",1985,"F",3,"PA",4,"6",12577843,"31",5
"2960",300,"ERIE","ST",3,"",7,3,3,627,27,"4/15/2016",1999,"O",2,"Local",1,"3",12572813,"17",6
"2961",300,"ESSEX","ST",3,"",6,3,4,786,30,"6/14/2016",1999,"O",2,"Local",1,"3",12572793,"17",6
"2962",300,"ESSEX","ST",3,"",6,3,4,786,30,"6/14/2016",1999,"O",2,"Local",1,"3",13006472,"17",6
"2963",300,"ESSEX","ST",3,"",6,3,4,786,30,"6/14/2016",1999,"O",2,"Local",1,"3",12572773,"17",6
"2964",300,"EUCLID","AVE",6,"",5,3,3,320,39,"5/15/2016",2004,"F",3,"MA",3,"6",12577566,"12",6
"2965",300,"FABIUS","ST",3,"",5,3,1,366,NA,"6/14/2016",1999,"F",3,"Local",1,"6",12573654,"17",4
"2966",300,"FABIUS","ST",3,"",5,3,1,366,NA,"6/14/2016",1999,"F",3,"Local",1,"6",13002367,"17",4
"2967",300,"FARMER","ST",3,"",3,2,2,1240,24,"5/15/2016",1986,"F",3,"Local",1,"6",12580353,"30",4
"2968",300,"FAYETTE","BLVD",10,"",6,3,4,429,25,"6/15/2016",2004,"O",2,"Local",1,"3",12578892,"12",5
"2969",300,"FAYETTE","ST",3,"E",10,5,5,525,36,"6/15/2016",2014,"F",3,"MA",3,"6",12577697,"2",10
"2970",300,"FAYETTE","ST",3,"W",9,5,5,950,37,"4/15/2016",1986,"F",3,"MA",3,"6",13020300,"30",9
"2971",300,"FAYETTE","ST",3,"W",9,5,5,950,37,"4/15/2016",1986,"F",3,"MA",3,"6",12573732,"30",9
"2972",300,"FELLOWS","AVE",6,"",5,3,3,766,27,"6/15/2016",2004,"F",3,"Local",1,"6",12578510,"12",6
"2973",300,"FILLMORE","AVE",6,"",4,2,3,309,27,"6/15/2016",1987,"F",3,"Local",1,"6",12576756,"29",5
"2974",300,"FIRST NORTH","ST",3,"",6,3,4,336,27,"4/15/2016",1985,"O",2,"Local",1,"3",13001383,"31",6
"2975",300,"FIRST NORTH","ST",3,"",6,3,4,336,27,"4/15/2016",1985,"O",2,"Local",1,"3",13012406,"31",6
"2976",300,"FIRST NORTH","ST",3,"",6,3,4,336,27,"4/15/2016",1985,"O",2,"Local",1,"3",12580190,"31",6
"2977",300,"FITCH","ST",3,"",5,3,2,615,27,"4/14/2016",1986,"O",2,"Local",1,"3",12573087,"30",5
"2978",300,"FITCH","ST",3,"",5,3,2,615,27,"4/14/2016",1986,"O",2,"Local",1,"3",13002351,"30",5
"2979",300,"FLORENCE","AVE",6,"E",5,3,1,525,25,"6/15/2016",2004,"O",2,"Local",1,"3",12576643,"12",5
"2980",300,"FOBES","AVE",6,"",6,3,3,818,21,"4/14/2016",1985,"F",3,"Local",1,"3",12581361,"31",6
