block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
300,FAYETTE,ST,3,W,7,4,3,950,37,1/1/2016,1985,F,3,3,MA,6,13020300,31
300,FELLOWS,AVE,6,,7,4,3,766,27,12/1/1999,1999,F,1,3,Local,6,12578510,0
300,FILLMORE,AVE,6,,6,3,4,309,27,1/1/2016,1987,F,1,3,Local,6,12576756,29
300,FIRST NORTH,ST,3,,7,4,4,336,27,12/1/2000,1985,O,1,2,Local,3,12580190,15
300,FIRST NORTH,ST,3,,7,4,4,336,27,12/1/2000,1985,O,1,2,Local,3,13001383,15
300,FIRST NORTH,ST,3,,7,4,4,336,27,12/1/2000,1985,O,1,2,Local,3,13012406,15
300,FITCH,ST,3,,7,4,4,615,27,12/1/1999,1986,,1,1,Local,3,13002351,13
300,FITCH,ST,3,,7,4,4,615,27,12/1/1999,1986,,1,1,Local,3,12573087,13
300,FLORENCE,AVE,6,E,6,3,3,525,25,1/1/2016,1985,O,1,2,Local,3,12576643,31
300,FOBES,AVE,6,,7,4,4,818,21,12/1/1999,1985,F,1,3,Local,3,12581062,14
300,FOBES,AVE,6,,7,4,4,818,21,12/1/1999,1985,F,1,3,Local,3,12581361,14
300,FOREST HILL,DR,4,,7,3,4,834,36,12/1/1999,1999,F,1,3,Local,6,13018676,0
300,FOREST HILL,DR,4,,7,3,4,834,36,12/1/1999,1999,F,1,3,Local,6,12580970,0
300,FORMAN,AVE,6,,5,3,3,520,37,3/1/2000,1985,F,1,3,Local,6,12577799,15
300,FORMAN,AVE,6,,5,3,3,520,37,3/1/2000,1985,F,1,3,Local,6,12577781,15
300,FORMAN,AVE,6,,5,3,3,520,37,3/1/2000,1985,F,1,3,Local,6,12577801,15
300,FORMAN,AVE,6,,5,3,3,520,37,3/1/2000,1985,F,1,3,Local,6,12577803,15
300,FOURTH NORTH,ST,3,,8,4,4,161,34,1/1/2016,1999,O,1,2,Local,3,13001315,17
300,FRANKLIN,ST,3,N,7,4,3,126,45,1/1/2016,1985,F,1,3,Local,,12573939,31
300,FRANKLIN,ST,3,S,5,3,2,300,45,1/1/2016,1985,F,1,3,Local,6,12573744,31
300,FURMAN,ST,3,,4,3,2,656,30,1/1/2016,1985,F,1,3,Local,6,12573230,31
300,GARFIELD,AVE,6,,8,4,5,588,27,1/1/2016,1999,F,1,3,Local,,12577295,17
300,GARFIELD,AVE,6,,8,4,5,588,27,1/1/2016,1999,F,1,3,Local,,12577298,17
300,GEDDES,ST,3,N,8,4,4,792,46,3/1/2000,1999,F,3,3,MA,6,12573540,1
300,GEDDES,ST,3,S,7,3,4,240,56,2/1/2000,1999,F,3,3,MA,6,12573437,1
300,GEDDES,ST,3,S,7,3,4,240,56,2/1/2000,1999,F,3,3,MA,6,12573436,1
300,GENANT,DR,4,,7,3,4,671,21,1/1/2016,1985,,1,1,Local,,13001321,31
300,GENESEE,ST,3,W,6,4,3,483,40,1/1/2016,1999,F,4,3,PA,6,12573895,17
300,GENESEE,ST,3,W,6,4,3,483,40,1/1/2016,1999,F,4,3,PA,6,12573876,17
300,GENESEE PARK,DR,4,,8,4,4,1323,27,12/1/1999,1999,O,1,2,Local,3,12578733,0
300,GENESEE PARK,DR,4,,8,4,4,1323,27,12/1/1999,1999,O,1,2,Local,3,12578737,0
300,GENESEE PARK,DR,4,,8,4,4,1323,27,12/1/1999,1999,O,1,2,Local,3,12578739,0
300,GENESEE PARK,DR,4,,8,4,4,1323,27,12/1/1999,1999,O,1,2,Local,3,12578740,0
300,GERTRUDE,ST,3,,5,3,2,700,27,1/1/2016,1983,F,1,3,Local,6,12578285,33
300,GIFFORD,ST,3,,7,4,3,552,30,2/1/2000,1985,F,1,3,Local,,12573659,15
300,GIFFORD,ST,3,,7,4,3,552,30,2/1/2000,1985,F,1,3,Local,,13012508,15
300,GIFFORD,ST,3,,7,4,3,552,30,2/1/2000,1985,F,1,3,Local,,12573650,15
300,GIFFORD,ST,3,,7,4,3,552,30,2/1/2000,1985,F,1,3,Local,,12573651,15
300,GLEN,AVE,6,E,6,3,4,375,25,1/1/2016,1999,O,1,2,Local,3,12576636,17
300,GLEN,AVE,6,E,6,3,4,375,25,1/1/2016,1999,O,1,2,Local,3,12576637,17
300,GLEN,AVE,6,E,6,3,4,375,25,1/1/2016,1999,O,1,2,Local,3,12576647,17
300,GLENCOVE,RD,5,,6,3,4,348,29,12/1/2000,1985,O,1,2,Local,3,13018677,15
300,GLENCOVE,RD,5,,6,3,4,348,29,12/1/2000,1985,O,1,2,Local,3,12580976,15
300,GLENWOOD,AVE,6,,6,2,4,300,27,1/1/2016,1999,F,3,3,MA,6,12572005,17
300,GOODRICH,AVE,6,,6,3,3,528,25,12/1/1999,1989,,1,1,Local,,12576930,10
300,GORDON,AVE,6,,7,4,4,366,27,12/1/1999,1985,F,1,3,Local,,12572958,14
300,GRAND,AVE,6,,5,2,3,390,25,2/1/2000,1986,F,3,3,MA,6,12573042,14
300,GRAND,AVE,6,,5,2,3,390,25,2/1/2000,1986,F,3,3,MA,6,13020706,14
300,GRAND,AVE,6,,5,2,3,390,25,2/1/2000,1986,F,3,3,MA,6,13020707,14
300,GRANGER,ST,3,,8,5,4,410,18,1/1/2016,1999,F,1,3,Local,,12573681,17
300,GRANT,AVE,6,,7,3,4,395,31,1/1/2016,1985,,1,1,Local,,12572965,31
300,GRANT,BLVD,10,,7,3,4,733,35,12/1/1999,1999,F,3,3,MA,6,12580543,0
300,GRANT,BLVD,10,,7,3,4,733,35,12/1/1999,1999,F,3,3,MA,6,12580541,0
300,GRANT,BLVD,10,,7,3,4,733,35,12/1/1999,1999,F,3,3,MA,6,12580542,0
300,GREEN,ST,3,,6,4,2,686,26,12/1/1999,1988,F,1,3,Local,6,12578079,11
300,GREEN,ST,3,,6,4,2,686,26,12/1/1999,1988,F,1,3,Local,6,12578286,11
300,GREEN,ST,3,,6,4,2,686,26,12/1/1999,1988,F,1,3,Local,6,12578094,11
300,GREEN,ST,3,,6,4,2,686,26,12/1/1999,1988,F,1,3,Local,6,13028394,11
300,GREEN,ST,3,,6,4,2,686,26,12/1/1999,1988,F,1,3,Local,6,13028395,11
300,GREEN,ST,3,,6,4,2,686,26,12/1/1999,1988,F,1,3,Local,6,12578096,11
300,GREENWAY,AVE,6,,4,1,3,243,30,1/1/2016,1985,F,1,3,Local,6,12578361,31
300,GREENWAY,AVE,6,,4,1,3,243,30,1/1/2016,1985,F,1,3,Local,6,12578362,31
300,GREENWOOD,PL,2,,10,5,5,312,25,11/1/2000,2000,F,1,3,Local,6,12577633,0
300,GRIFFITHS,ST,3,,6,3,3,312,27,1/1/2000,1985,F,1,3,Local,6,12580193,15
300,HAMILTON,ST,3,,8,4,4,417,25,1/1/2016,1999,,1,1,Local,3,12572827,17
300,HARFORD,RD,5,,7,3,4,750,,12/1/1999,1985,O,1,2,Local,3,12580707,14
300,HARRISON,ST,3,,8,4,4,348,28,3/1/2000,1985,F,1,3,Local,3,12577658,15
300,HARTSON,ST,3,,7,4,3,333,27,12/1/1999,1985,,1,1,Local,,12573015,14
300,HARVARD,PL,2,,6,3,3,342,27,12/1/1999,1985,F,1,3,Local,6,12578689,14
300,HATCH,ST,3,,8,4,4,512,25,1/1/2016,1985,,1,1,Local,,12572109,31
300,HAWLEY,AVE,6,,8,4,4,825,26,1/1/2016,1985,F,1,3,Local,6,12578065,31
