block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
5700,SALINA,ST,3,S,7,3,4,,40,12/1/1998,1999,,3,1,MA,6,12564369,-1
5800,SALINA,ST,3,S,7,3,4,,40,12/1/1998,1999,,3,1,MA,6,12564396,-1
5800,SALINA,ST,3,S,7,3,4,,40,12/1/1998,1999,,3,1,MA,6,12564388,-1
5800,SALINA,ST,3,S,7,3,4,,40,12/1/1998,1999,,3,1,MA,6,13011518,-1
5900,SALINA,ST,3,S,7,3,4,,40,12/1/1998,1999,,3,1,MA,6,12564386,-1
600,ADAMS,ST,3,E,6,4,2,528,64,3/1/2000,1985,,3,1,MA,6,12577724,15
600,ADAMS,ST,3,E,6,4,2,528,64,3/1/2000,1985,,3,1,MA,6,12577725,15
600,ALLEN,ST,3,,6,3,3,1027,27,12/1/1999,1985,,1,1,Local,4,12578688,14
600,ALLEN,ST,3,,6,3,3,1027,27,12/1/1999,1985,,1,1,Local,4,12578520,14
600,ALMOND,ST,3,,5,3,3,264,54,3/1/2000,1999,,1,1,Local,4,12577772,1
600,ARTHUR,ST,3,,8,4,4,323,26,12/1/1999,1999,,1,1,Local,6,12572931,0
600,ASH,ST,3,,6,3,4,264,32,1/1/2000,1985,O,1,2,Local,3,12580053,15
600,ATLANTIC,AVE,6,,8,4,4,410,25,12/1/1998,1999,O,1,2,Local,3,12571933,-1
600,AUDUBON,PKWY,9,,6,3,4,704,46,12/1/1999,1985,,1,1,Local,3,13006090,14
600,AUDUBON,PKWY,9,,6,3,4,704,46,12/1/1999,1985,,1,1,Local,3,12578946,14
600,AVERY,AVE,6,S,7,3,4,528,30,12/1/1998,1985,,2,1,CO,4,12572433,13
600,AVERY,AVE,6,S,7,3,4,528,30,12/1/1998,1985,,2,1,CO,4,12572434,13
600,BALLANTYNE,RD,5,,8,4,5,380,30,12/1/1999,1999,O,1,2,Local,3,12576689,0
