streetName,streetType,longitude,latitude
FRANKLIN,ST,-76.154837,43.0536213
FURMAN,ST,-76.153397,43.030515
GALE,AVE,-76.115021,43.057134
GAME,RD,-76.131484,43.012925
GANNETT,AVE,-76.156339,43.080178
GARFIELD,AVE,-76.1419827,43.0275947
GARFIELD,PL,-76.141042,43.027682
GARY,AVE,-76.1423299,42.985336
GEBHARDT,AVE,-76.153457,43.0619996
GEDDES,ST,-76.1742949,43.0351807
GENANT,DR,-76.158232,43.061915
GENESEE,ST,-76.2005361,43.0471972
GENESEE PARK,DR,-76.109227,43.046634
GEORGE,ST,-76.1329078,43.1367609
GERE,AVE,-76.1976242,43.0577148
GERTRUDE,ST,-76.136618,43.054639
GIFFORD,PKWY,-76.084997,43.042464
GIFFORD,ST,-76.164053,43.043165
GILBERT,AVE,-76.147673,43.067872
GILBERT,ST,-76.1541487,43.0810927
GIRARD,AVE,-76.1524744,43.0100712
GLAHN,AVE,-76.1536616,43.0248613
GLASS,TER,-76.1414,43.028537
GLEN,AVE,-76.14185,43.005439
GLENCOVE,RD,-76.096915,43.064916
GLENWOOD,AVE,-76.1785563,43.022716
GOODRICH,AVE,-76.126978,43.019235
GORDON,AVE,-76.171826,43.029169
GORLAND,AVE,-76.1013244,43.0455824
GRACE,ST,-76.166158,43.038495
GRAND,AVE,-76.1908702,43.0362316
GRANGER,ST,-76.156615,43.0440077
GRANT,AVE,-76.176957,43.0318162
GRANT,BLVD,-76.1390347,43.0722866
GRANT,TER,-76.121124,43.0725634
GRASSMAN,AVE,-76.143694,43.066493
GRAY,AVE,-76.125213,43.069326
GREEN,ST,-76.137665,43.055435
GREENLAND,DR,-76.1412005,43.0721825
GREENWOOD,PL,-76.122133,43.040776
GRIFFIN,ST,-76.1597468,43.0142743
GRIFFITHS,ST,-76.145954,43.069241
GROVE,ST,-76.1561515,43.010281
GRUMBACH,AVE,-76.139659,43.065108
GUILFORD,RD,-76.094583,43.03597
HAFFENDEN,RD,-76.1229164,43.0270304
HALL,AVE,-76.1449328,43.0123346
HAMPSHIRE,RD,-76.13121,43.06648
HAMPTON,RD,-76.12378,43.066545
HANCOCK,DR,-76.1793547,43.0256887
HARBOR,ST,-76.188401,43.055331
HARDING,PL,-76.140095,42.993534
HARDING,ST,-76.1398859,43.0791678
HARFORD,RD,-76.1449429,43.0831669
HAROLD,ST,-76.141493,43.074844
HARRINGTON,RD,-76.1018678,43.0401563
HARRISON,PL,-76.150152,43.042762
HARRISON,ST,-76.1409177,43.0443188
HARTLEY,ST,-76.142452,43.068525
HARTSON,ST,-76.1770847,43.036517
HARVARD,PL,-76.116605,43.0416257
HARWOOD,AVE,-76.10012,43.048303
HASBROUCK,ST,-76.093484,43.061858
HASTINGS,PL,-76.11769,43.064586
HATCH,ST,,
HATHERLY,RD,-76.1030918,43.0398617
HAWLEY,AVE,-76.133251,43.054843
HAWTHORNE,ST,-76.120819,43.04395
HAYDEN,AVE,-76.1964638,43.0531937
HAYES,TER,-76.1373105,42.9855481
HAZELHURST,AVE,-76.113263,43.075806
HEADSON,DR,-76.0854712,43.0549352
HELEN,ST,-76.1353277,43.0685233
HENDERSON,ST,-76.134308,43.055063
HENRY,ST,-76.1406129,43.0361669
HERALD,PL,-76.154834,43.0533602
HERBERT,ST,-76.148773,43.067871
HERBST,AVE,-76.124484,43.059038
HERKIMER,ST,-76.192432,43.0532113
HERRIMAN,ST,-76.1771581,43.037696
HERTFORD,ST,-76.123284,43.028481
HERZ,ST,-76.1378752,43.0757451
HIAWATHA,BLVD,-76.162379,43.076316
HIER,AVE,-76.1406306,43.0650787
HIGH,ST,-92.8771704,38.6679712
HIGHLAND,AVE,-76.1358983,43.0607633
HIGHLAND,PL,-76.141344,43.059481
HIGHLAND,ST,-76.141538,43.064051
HIGHRIDGE,DR,-76.199844,43.02654
HIGHRIDGE,PL,-76.200393,43.027042
HILLCREST,RD,-76.207027,43.029996
HILLSBORO,PKWY,-76.088731,43.040462
HILLSDALE,AVE,-76.108396,43.063976
HILLSIDE,ST,-76.1398859,43.0791678
HILLTOP,RD,-76.222148,43.024245
HILLVIEW,AVE,-76.1624,43.020496
HILTON,RD,-76.1454865,42.9905522
HIXSON,AVE,-76.120043,43.062051
HOBART,AVE,-76.140261,43.0127528
HOEFLER,ST,-76.179632,43.035681
HOLDEN,ST,-76.180904,43.036706
HOLLAND,ST,-76.163433,43.037941
HOMECROFT,RD,-76.102351,43.06647
HOOD,AVE,-76.1457512,43.0750503
HOPE,AVE,-76.151628,43.021575
HOPPER,RD,-76.1595332,42.999183
HOUSTON,AVE,-76.112399,43.039144
HOVEY,ST,-76.1567444,43.031706
HUBBELL,AVE,-76.170455,43.030243
HUDSON,ST,-76.248088,43.0496312
HUGHES,PL,-76.133297,43.024056
HUNT,AVE,-76.1557399,43.0212078
HUNTER,AVE,-76.169198,43.057025
HUNTINGTON,RD,-76.195626,43.02971
HUNTLEY,ST,-76.1394451,43.0774875
HURLBURT,RD,-76.100566,43.039671
HURON,ST,-76.1563525,43.0322045
HUTCHINSON,AVE,-76.166668,43.015962
IDA,AVE,-76.1464448,42.9831771
INTREPID,LN,-76.1281495,43.0034606
INVERNESS,PL,-76.1966228,43.0305352
ISABELLA,ST,-76.155059,43.062955
JACLYN,DR,-76.1460782,42.9861082
JAMES,ST,-76.1234856,43.064628
JAMESVILLE,AVE,-76.127902,43.015637
JANET,DR,-76.1077454,43.033291
JASPER,PL,-76.1422374,43.0620927
JASPER,ST,-76.13751,43.062285
JEROME,ST,-76.117421,43.033632
JOHN,ST,-76.14668,43.064848
JOSEPHINE,ST,-76.147241,43.061001
JUDSON,ST,-76.122133,43.040776
JULIAN,PL,-76.110968,43.022057
JUNEWAY,RD,-76.1946582,43.0267057
KANDACE,ST,-76.1825818,43.0336736
KANE,RD,-76.1972319,43.06124
KAPPESSER,ST,-76.14499,43.068851
KEEN,PL,-76.1579524,43.0154907
KELLOGG,ST,-76.165284,43.037859
KENMORE,AVE,-76.1520568,43.0152508
KENNEDY,ST,-96.1773455,40.6631507
KENSINGTON,PL,-76.119651,43.028965
KENSINGTON,RD,-76.119911,43.031618
KENWICK,DR,-76.135333,43.07651
KENWOOD,AVE,-76.1505331,43.0790324
KIDD,AVE,-76.116298,43.052135
KILLIAN,DR,-76.0941347,43.0371965
KIMBER,AVE,-76.155169,43.0035755
KIMBER,RD,-76.0933941,43.037727
KINCAID,AVE,-76.199765,43.057429
KING,ST,-76.154118,43.038626
KINNE,ST,-76.1204404,43.0597427
KIRK,AVE,-76.15362,43.0280041
KIRK PARK,DR,-76.1550318,43.0219692
KIRKWOOD,PL,-76.1530736,43.0251515
KLINE,ST,-76.128486,43.068307
KNAUL,ST,-76.141713,43.066478
KRAMER,DR,-76.1558655,43.0013182
KUHL,AVE,-76.1446947,43.0782109
LACY,PL,-76.1615412,43.0707303
LAFAYETTE,AVE,-76.1525268,43.018582
LAKEVIEW,AVE,-76.17764,43.050301
LAMSON,ST,-76.100075,43.071417
LANCASTER,PL,-76.123196,43.027484
LANDMARK,PL,-76.146142,43.049059
LANDON,AVE,-76.148857,43.028211
LARNED,ST,-76.15409,43.040898
LATTER,DR,-76.1386749,42.9940286
LAWRENCE,ST,-76.1514826,43.0696009
LEA,LN,-76.1189241,43.072486
LENNOX,AVE,-76.1163658,43.0356143
LEWIS,ST,-76.1917301,43.055314
LEXINGTON,AVE,-76.1198264,43.0471299
LIBERTY,ST,-76.1737568,43.0537506
LILAC,ST,-76.152885,43.064066
LILLIAN,AVE,-76.110894,43.073213
LIME,ST,-76.094061,43.052736
LINCOLN,AVE,-76.1571145,43.0362884
LINCOLN PARK,DR,-76.1291237,43.057957
LINDEN,ST,-96.1908751,40.6693315
LISTMAN,AVE,-76.137343,43.074677
LOCKWOOD,RD,-76.085861,43.038535
LODI,ST,-76.1555571,43.0645038
LOEHR,AVE,-76.18106,43.034638
LOMA,AVE,-76.144715,43.0792794
LONGMEADOW,DR,-76.1466706,42.9895375
LOOMIS,AVE,-76.1539224,43.0085375
LORRAINE,AVE,-76.132189,43.024303
LOWELL,AVE,-76.1840493,43.0508178
LUDDINGTON,ST,-76.097153,43.062111
LYDELL,ST,-76.1784854,43.0364571
LYNCH,AVE,-76.167755,43.014603
LYNCH,ST,-76.167755,43.014603
LYNHURST,AVE,-76.1423409,43.0152589
LYNN,CIR,-76.1361537,42.9931505
LYNWOOD,AVE,-76.101578,43.07102
MADISON,ST,-76.1327273,43.0453454
MAGNOLIA,ST,-76.1749611,43.0455234
MAINS,AVE,-76.1571631,43.006275
MALCOLM,ST,-76.1666519,43.0333093
MALVERNE,DR,-76.1438488,43.0797538
MANILLA,ST,-76.1320086,43.0531874
MANOR,DR,-76.0825037,43.0419402
